Level,Date and Time,Source,Event ID,Task Category
Information,7/4/2020 9:26:49 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Warning,7/4/2020 9:26:49 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1f7fffff.  Low Energy peripheral role functionality will not be available."
Information,7/4/2020 9:26:49 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{1de56c92-7cab-4981-b572-50a171ad5c66} (\Device\HarddiskVolume9) is healthy.  No action is needed.
Information,7/4/2020 9:26:49 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,7/4/2020 9:26:49 PM,NETwNe64,7036,None,The \Device\NDMP2 service entered the Intel(R) Centrino(R) Wireless-N 2230 state.
Information,7/4/2020 9:26:49 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{c3f65bb2-b295-4d90-861f-ae3ae826d34b} (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information,7/4/2020 9:26:49 PM,Microsoft-Windows-Ntfs,98,None,Volume D: (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information,7/4/2020 9:26:48 PM,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Information,7/4/2020 9:26:48 PM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Information,7/4/2020 9:26:48 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎1977‎-‎09‎-‎12T18:19:34.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:47 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2011‎-‎10‎-‎30T18:56:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:47 PM,Microsoft-Windows-Ntfs,98,None,Volume C: (\Device\HarddiskVolume8) is healthy.  No action is needed.
Information,7/4/2020 9:26:45 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'WdFilter' (10.0, ‎2024‎-‎05‎-‎21T18:05:18.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:45 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2096‎-‎10‎-‎27T16:24:16.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:45 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎1989‎-‎07‎-‎13T04:15:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,7/4/2020 9:26:44 PM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2020‎-‎07‎-‎04T18:26:44.500000000Z.
Information,7/4/2020 11:24:22 PM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2020‎-‎07‎-‎04T20:24:22.493908700Z.
Information,7/4/2020 11:24:21 PM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information,7/4/2020 11:24:19 PM,Microsoft-Windows-WLAN-AutoConfig,4001,None,"WLAN AutoConfig service has successfully stopped.
"
Information,7/4/2020 9:26:52 PM,EventLog,6013,None,The system uptime is 7 seconds.
Information,7/4/2020 9:26:52 PM,EventLog,6005,None,The Event log service was started.
Information,7/4/2020 9:26:52 PM,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 18363  Multiprocessor Free.
Information,7/4/2020 11:24:19 PM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,7/4/2020 11:24:19 PM,Microsoft-Windows-DHCPv6-Client,51057,Service State Event,DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
Information,7/4/2020 11:24:19 PM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,7/4/2020 11:24:19 PM,Microsoft-Windows-Dhcp-Client,50106,Service State Event,DHCPv4 is waiting on DHCPv6 service to stop
Information,7/4/2020 11:24:19 PM,Microsoft-Windows-Dhcp-Client,50105,Service State Event,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information,7/4/2020 11:24:19 PM,Microsoft-Windows-Dhcp-Client,50104,Service State Event,DHCPv4 client received shutdown notification
Information,7/4/2020 11:24:19 PM,EventLog,6006,None,The Event log service was stopped.
Information,7/4/2020 11:24:17 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,7/4/2020 11:24:17 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'bindflt' (10.0, ‎2046‎-‎02‎-‎24T00:19:04.000000000Z) has successfully loaded and registered with Filter Manager."
Error,7/4/2020 11:24:14 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {A463FCB9-6B1C-4E0D-A80B-A2CA7999E25D} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:14 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {A463FCB9-6B1C-4E0D-A80B-A2CA7999E25D} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:13 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {A463FCB9-6B1C-4E0D-A80B-A2CA7999E25D} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:13 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {A463FCB9-6B1C-4E0D-A80B-A2CA7999E25D} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:13 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {A463FCB9-6B1C-4E0D-A80B-A2CA7999E25D} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server Microsoft.YourPhone_1.20061.110.0_x64__8wekyb3d8bbwe!App.AppXvctmff39365zg14pgmystcwtys462fpa.mca did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server Microsoft.YourPhone_1.20061.110.0_x64__8wekyb3d8bbwe!App.AppXr00jd4y2rs4113e6sxhfbd9681pzfc60.mca did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {7966B4D8-4FDC-4126-A10B-39A3209AD251} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {7966B4D8-4FDC-4126-A10B-39A3209AD251} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {7966B4D8-4FDC-4126-A10B-39A3209AD251} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {1A1F4206-0688-4E7F-BE03-D82EC69DF9A5} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server {7966B4D8-4FDC-4126-A10B-39A3209AD251} did not register with DCOM within the required timeout.
Error,7/4/2020 11:24:12 PM,Microsoft-Windows-DistributedCOM,10010,None,The server Microsoft.Windows.Cortana_1.13.0.18362_neutral_neutral_cw5n1h2txyewy!CortanaUI.AppXd4tad4d57t4wtdbnnmb8v2xtzym8c1n8.mca did not register with DCOM within the required timeout.
Information,7/4/2020 11:24:11 PM,User32,1074,None,"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-577B38M) has initiated the restart of computer DESKTOP-577B38M on behalf of user DESKTOP-577B38M\PC for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: restart
 Comment: "
Warning,7/4/2020 11:23:55 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,7/4/2020 11:23:55 PM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,7/4/2020 11:23:54 PM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
Information,7/4/2020 11:23:52 PM,Microsoft-Windows-WLAN-AutoConfig,4000,None,"WLAN AutoConfig service has successfully started.
"
Information,7/4/2020 11:23:51 PM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,7/4/2020 11:23:50 PM,Microsoft-Windows-DHCPv6-Client,51046,Service State Event,DHCPv6 client service is started
Information,7/4/2020 11:23:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'storqosflt' (10.0, ‎2084‎-‎07‎-‎24T08:29:44.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:50 PM,Microsoft-Windows-Dhcp-Client,50103,Service State Event,DHCPv4 client registered for shutdown notification
Information,7/4/2020 11:23:50 PM,Microsoft-Windows-Dhcp-Client,50036,Service State Event,DHCPv4 client service is started
Information,7/4/2020 11:23:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:50 PM,Microsoft-Windows-FilterManager,1,None,"File System Filter 'CldFlt' (Version 10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) unloaded successfully."
Information,7/4/2020 11:23:50 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'CldFlt' (10.0, ‎2077‎-‎06‎-‎12T18:13:28.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:49 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'luafv' (10.0, ‎1974‎-‎08‎-‎09T16:33:30.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:49 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'wcifs' (10.0, ‎2011‎-‎08‎-‎26T01:27:29.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:48 PM,Microsoft-Windows-Directory-Services-SAM,16962,None,"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information,7/4/2020 11:23:48 PM,Microsoft-Windows-Wininit,14,None,"Credential Guard configuration: 0x0, 0"
Information,7/4/2020 11:23:47 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{1de56c92-7cab-4981-b572-50a171ad5c66} (\Device\HarddiskVolume9) is healthy.  No action is needed.
Information,7/4/2020 11:23:47 PM,Microsoft-Windows-Ntfs,98,None,Volume \\?\Volume{c3f65bb2-b295-4d90-861f-ae3ae826d34b} (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information,7/4/2020 11:23:47 PM,Microsoft-Windows-Ntfs,98,None,Volume D: (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information,7/4/2020 11:23:46 PM,Microsoft-Windows-Kernel-Power,172,(203),"Connectivity state in standby: Disconnected, Reason: NIC compliance"
Information,7/4/2020 11:23:46 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'npsvctrig' (10.0, ‎1977‎-‎09‎-‎12T18:19:34.000000000Z) has successfully loaded and registered with Filter Manager."
Warning,7/4/2020 11:23:44 PM,BTHUSB,34,None,"The local adapter does not support an important Low Energy controller state to support peripheral mode.  The minimum required supported state mask is 0x2491f7fffff, got 0x1f7fffff.  Low Energy peripheral role functionality will not be available."
Information,7/4/2020 11:23:44 PM,BTHUSB,18,None,Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information,7/4/2020 11:23:43 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 11:23:43 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 11:23:43 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 11:23:43 PM,Microsoft-Windows-Kernel-Processor-Power,55,(47),"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (2 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 1701
Maximum performance percentage: 100
Minimum performance percentage: 45
Minimum throttle percentage: 5"
Information,7/4/2020 11:23:42 PM,NETwNe64,7036,None,The \Device\NDMP2 service entered the Intel(R) Centrino(R) Wireless-N 2230 state.
Information,7/4/2020 11:23:42 PM,MEIx64,2,None,Intel(R) Management Engine Interface driver has started successfully.
Information,7/4/2020 11:23:42 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileCrypt' (10.0, ‎2011‎-‎10‎-‎30T18:56:49.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:41 PM,Microsoft-Windows-Ntfs,98,None,Volume ?? (\Device\HarddiskVolume8) is healthy.  No action is needed.
Information,7/4/2020 11:23:40 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'WdFilter' (10.0, ‎2024‎-‎05‎-‎21T18:05:18.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:40 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'Wof' (10.0, ‎2096‎-‎10‎-‎27T16:24:16.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:40 PM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'FileInfo' (10.0, ‎1989‎-‎07‎-‎13T04:15:12.000000000Z) has successfully loaded and registered with Filter Manager."
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-General,20,(6),"The leap second configuration has been updated.
Reason: Leap second data initialized from registry during boot
Leap seconds enabled: true
New leap second count: 0
Old leap second count: 0"
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-Boot,30,(21),The firmware reported boot metrics.
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-Boot,27,(33),The boot type was 0x0.
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-Boot,25,(32),The boot menu policy was 0x1.
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-Boot,32,(58),The bootmgr spent 0 ms waiting for user input.
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-Boot,18,(57),There are 0x1 boot options on this system.
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,7/4/2020 11:23:39 PM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2020‎-‎07‎-‎04T20:23:39.500000000Z.
Information,7/4/2020 11:23:19 PM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2020‎-‎07‎-‎04T20:23:19.401002600Z.
Information,7/4/2020 11:23:18 PM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information,7/4/2020 11:23:17 PM,Microsoft-Windows-WLAN-AutoConfig,4001,None,"WLAN AutoConfig service has successfully stopped.
"
Information,7/4/2020 11:23:49 PM,EventLog,6013,None,The system uptime is 10 seconds.
Information,7/4/2020 11:23:49 PM,EventLog,6005,None,The Event log service was started.
Information,7/4/2020 11:23:49 PM,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 18363  Multiprocessor Free.
Information,7/4/2020 11:23:16 PM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,7/4/2020 11:23:16 PM,Microsoft-Windows-Dhcp-Client,50106,Service State Event,DHCPv4 is waiting on DHCPv6 service to stop
Information,7/4/2020 11:23:16 PM,Microsoft-Windows-DHCPv6-Client,51057,Service State Event,DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
Information,7/4/2020 11:23:16 PM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,7/4/2020 11:23:16 PM,Microsoft-Windows-Dhcp-Client,50105,Service State Event,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information,7/4/2020 11:23:16 PM,Microsoft-Windows-Dhcp-Client,50104,Service State Event,DHCPv4 client received shutdown notification
Information,7/4/2020 11:23:16 PM,EventLog,6006,None,The Event log service was stopped.
Information,7/4/2020 11:23:10 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,7/4/2020 11:23:08 PM,User32,1074,None,"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-577B38M) has initiated the restart of computer DESKTOP-577B38M on behalf of user DESKTOP-577B38M\PC for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: restart
 Comment: "
Information,7/4/2020 11:22:59 PM,Service Control Manager,7040,None,The start type of the Auto Time Zone Updater service was changed from disabled to demand start.
Information,7/4/2020 11:22:55 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎04T20:22:55.599130400Z from ‎2020‎-‎07‎-‎04T20:22:55.589381300Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume8\Windows\System32\svchost.exe' (PID 2096)."
Information,7/4/2020 11:22:53 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎04T20:22:53.858358100Z from ‎2020‎-‎07‎-‎04T20:22:53.856278800Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume8\Windows\System32\svchost.exe' (PID 2096)."
Information,7/4/2020 11:22:53 PM,Microsoft-Windows-Time-Service,35,None,"The time service is now synchronizing the system time with the time source time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.231.114.183:123) with reference id 3077760820. Current local stratum number is 4."
Information,7/4/2020 11:22:53 PM,Microsoft-Windows-Kernel-General,1,(5),"The system time has changed to ‎2020‎-‎07‎-‎04T20:22:53.856278800Z from ‎2020‎-‎07‎-‎04T17:22:53.371880200Z.

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume8\Windows\System32\svchost.exe' (PID 2096)."
Information,7/4/2020 8:22:53 PM,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->52.231.114.183:123)."
Information,7/4/2020 8:22:53 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,7/4/2020 8:22:52 PM,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
